subj,condition,ageday,exp_look,unexp_look,sex,paper
10,1_equidistant,91.32,45.55,45.2,F,choi_unpublished
11,1_equidistant,88.88,41.2,60,F,choi_unpublished
12,1_equidistant,99.32,41.2,60,F,choi_unpublished
13,1_equidistant,95.32,50.7,60,M,choi_unpublished
14,1_equidistant,76.88,34.6,47.9,M,choi_unpublished
15,1_equidistant,117.32,41.05,35.25,M,choi_unpublished
16,1_equidistant,83.88,8.8,12.1,M,choi_unpublished
17,1_equidistant,125.76,12,6.35,M,choi_unpublished
18,1_equidistant,118.32,55.1,43.45,M,choi_unpublished
19,1_equidistant,124.76,19.25,10.65,M,choi_unpublished
20,1_equidistant,112.32,13.35,39.1,F,choi_unpublished
21,1_equidistant,98.32,35.2,34,F,choi_unpublished
22,1_equidistant,106.32,28,12.9,F,choi_unpublished
23,1_equidistant,94.32,8.1,46.8,F,choi_unpublished
24,1_equidistant,109.32,33.75,38,F,choi_unpublished
25,1_neartarget,97.32,39.2,60,M,choi_unpublished
26,1_neartarget,106.32,40.85,24.05,M,choi_unpublished
27,1_neartarget,93.32,51.55,32.8,M,choi_unpublished
28,1_neartarget,75.88,49.2,16.95,M,choi_unpublished
29,1_neartarget,75.88,45.15,60,M,choi_unpublished
30,1_neartarget,112.32,10,11.55,M,choi_unpublished
31,1_neartarget,80.88,32.5,59.7,F,choi_unpublished
32,1_neartarget,74.88,40.75,35.65,F,choi_unpublished
33,1_neartarget,99.32,60,51.2,F,choi_unpublished
34,1_neartarget,122.76,14.15,23.2,F,choi_unpublished
35,1_neartarget,77.88,60,45.8,F,choi_unpublished
36,1_neartarget,100.32,15.3,27.45,F,choi_unpublished
37,1_neartarget,101.32,8.2,15.2,M,choi_unpublished
38,1_neartarget,104.32,9,13.25,M,choi_unpublished
39,1_neartarget,107.32,21.1,23.3,M,choi_unpublished
40,1_neartarget,105.32,8.2,6.6,M,choi_unpublished
41,1_neartarget,78.88,60,42.15,M,choi_unpublished
42,1_neartarget,124.76,27.55,7.45,M,choi_unpublished
43,1_neartarget,86.88,33.3,9.8,F,choi_unpublished
44,1_neartarget,82.88,14.15,23.7,F,choi_unpublished
45,1_neartarget,110.32,12.35,8.95,F,choi_unpublished
46,1_neartarget,98.32,8.3,33.2,F,choi_unpublished
47,1_neartarget,77.88,32.1,37.2,F,choi_unpublished
48,1_neartarget,127.76,33.95,8.5,F,choi_unpublished
49,1_fartarget,122.76,11.8,12.35,M,choi_unpublished
50,1_fartarget,84.88,60,42.05,M,choi_unpublished
51,1_fartarget,93.32,40,26.2,M,choi_unpublished
52,1_fartarget,85.88,54.4,60,M,choi_unpublished
53,1_fartarget,104.32,24.6,34.95,M,choi_unpublished
54,1_fartarget,116.32,10.5,11.7,M,choi_unpublished
55,1_fartarget,72.88,41.65,49.15,M,choi_unpublished
56,1_fartarget,114.32,8.45,14.15,F,choi_unpublished
57,1_fartarget,92.32,41.7,29.3,F,choi_unpublished
58,1_fartarget,130.76,9.35,7.7,F,choi_unpublished
59,1_fartarget,75.88,60,40.35,F,choi_unpublished
60,1_fartarget,126.76,19.1,23.3,F,choi_unpublished
61,1_fartarget,84.88,28.4,20.45,M,choi_unpublished
62,1_fartarget,78.88,5.9,37.6,M,choi_unpublished
63,1_fartarget,96.32,15.6,7.65,M,choi_unpublished
64,1_fartarget,108.32,46.15,60,M,choi_unpublished
65,1_fartarget,107.32,37.25,26.25,M,choi_unpublished
66,1_fartarget,80.88,23.4,10.6,M,choi_unpublished
67,1_fartarget,105.32,56,60,M,choi_unpublished
68,1_fartarget,81.88,15.85,16.45,F,choi_unpublished
69,1_fartarget,93.32,13.9,20.35,F,choi_unpublished
70,1_fartarget,108.32,6.65,6.25,F,choi_unpublished
71,1_fartarget,101.32,11.75,20.45,F,choi_unpublished
72,1_fartarget,97.32,47.1,6.95,F,choi_unpublished
1,1_twoobject,130.76,9.85,19.05,M,choi2018
2,1_twoobject,89.88,39.1,60,M,choi2018
3,1_twoobject,81.88,6.6,29.8,M,choi2018
4,1_twoobject,111.32,9.7,5.55,F,choi2018
5,1_twoobject,99.32,42.05,37.45,F,choi2018
6,1_twoobject,85.88,7.3,22.3,F,choi2018
7,1_twoobject,109.32,59.25,60,F,choi2018
8,1_twoobject,112.32,5.05,7.95,F,choi2018
9,1_twoobject,89.88,23.65,18.4,M,choi2018
10,1_twoobject,97.32,60,50.65,M,choi2018
11,1_twoobject,113.32,44.6,60,M,choi2018
12,1_twoobject,114.32,28.6,60,M,choi2018
13,1_twoobject,109.32,20.2,10.25,M,choi2018
14,1_twoobject,109.32,5.45,7.8,F,choi2018
