"","subj","paper","MA_condition","ageday","exp_look","unexp_look","sex","experiment","condition","task","training_yesno","action_consequence","actor_hand","agent_efficient_fam","object_diff_size_huge","action_causal","location_object_goal_ambiguous","bothobjects_present_visible_fam","agent","PI_group","look_pref"
"87","87","skerry2013","3_notraining",109,4.4,4.133333,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-0.266667
"88","88","skerry2013","3_notraining",110,10.1,15.1,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",5
"89","89","skerry2013","3_notraining",113,8.4,11.833333,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",3.433333
"90","90","skerry2013","3_notraining",121,24.033333,29.833333,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",5.8
"91","91","skerry2013","3_notraining",103,14.666667,13.466667,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-1.2
"92","92","skerry2013","3_notraining",104,9.266667,6.033333,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-3.233334
"93","93","skerry2013","3_notraining",104,16.7,13.166667,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-3.533333
"94","94","skerry2013","3_notraining",104,19.833333,18.6,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-1.233333
"95","95","skerry2013","3_notraining",97,27.166667,29.566667,"f","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",2.4
"96","96","skerry2013","3_notraining",105,9.6,10.7,"m","3","3_notraining","constraints","no","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",1.1
"97","97","skerry2013","4_constrainedactionhabituation",117,12.033333,14.6,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",2.566667
"98","98","skerry2013","4_constrainedactionhabituation",112,4.866667,9.233333,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",4.366666
"99","99","skerry2013","4_constrainedactionhabituation",116,7.5,11.8,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",4.3
