"101","5_unconstrainedactionhabituation",119,16.3,6.433333,"m","X[[i]]"
"102","5_unconstrainedactionhabituation",103,6.366667,6.433333,"f","X[[i]]"
"103","5_unconstrainedactionhabituation",122,7.7,9.733333,"f","X[[i]]"
"104","5_unconstrainedactionhabituation",105,17.666667,10.633333,"f","X[[i]]"
"105","5_unconstrainedactionhabituation",118,5.366667,7.266667,"m","X[[i]]"
"106","5_unconstrainedactionhabituation",102,16.266667,16.3,"f","X[[i]]"
"107","5_unconstrainedactionhabituation",122,6.6,10.066667,"m","X[[i]]"
"108","5_unconstrainedactionhabituation",110,6.033333,25.966667,"m","X[[i]]"
"109","5_unconstrainedactionhabituation",114,10.466667,11.066667,"m","X[[i]]"
"110","5_unconstrainedactionhabituation",100,14.833333,12.633333,"m","X[[i]]"
"111","5_unconstrainedactionhabituation",100,9.7,14.4,"m","X[[i]]"
"112","5_unconstrainedactionhabituation",96,32.3,26.066667,"f","X[[i]]"
"1","1_Active",94.364,9.1,3.02,"Female","X[[i]]"
"2","1_Active",106.54,9.72,19.15,"Female","X[[i]]"
"3","1_Active",117.8028,5.5,8.42,"Female","X[[i]]"
"4","1_Active",98.3212,2.04,5.36,"Female","X[[i]]"
"5","1_Active",106.54,52.2,48.4,"Female","X[[i]]"
"6","1_Active",114.7588,9.27,6.63,"Female","X[[i]]"
"7","1_Active",118.716,2.15,6.35,"Female","X[[i]]"
"8","1_Active",105.6268,15.3,5.07,"Male","X[[i]]"
"9","1_Active",101.3652,9.97,12.26,"Male","X[[i]]"
"10","1_Active",101.3652,4.45,17.83,"Male","X[[i]]"
"11","1_Active",104.4092,1.86,3.02,"Male","X[[i]]"
"12","1_Active",107.4532,10.31,7.09,"Female","X[[i]]"
"13","1_Active",121.76,26.02,64,"Male","X[[i]]"
"14","1_Active",112.628,3.12,10.65,"Female","X[[i]]"
"15","1_Active",108.6708,0.9,1.28,"Male","X[[i]]"
"16","1_Active",103.496,9.16,4.41,"Female","X[[i]]"
"17","1_Active",91.32,1.26,4.32,"Male","X[[i]]"
"18","1_Active",94.364,3.28,9.89,"Female","X[[i]]"
"19","1_Active",121.76,1.79,3.04,"Female","X[[i]]"
"20","1_Active",99.5388,5.84,2.25,"Female","X[[i]]"
"21","1_Active",91.32,40.54,29.56,"Male","X[[i]]"
"22","1_Active",113.5412,3.74,12.25,"Male","X[[i]]"
"23","1_Active",103.496,8.67,15.26,"Female","X[[i]]"
"24","1_Active",94.364,3.53,5.27,"Male","X[[i]]"
"25","1_Observation",119.6292,5.58,9.82,"Female","X[[i]]"
"26","1_Observation",100.452,15.29,9.94,"Female","X[[i]]"
"27","1_Observation",94.364,4.33,8.91,"Male","X[[i]]"
"28","1_Observation",94.364,15.39,21.74,"Female","X[[i]]"
"29","1_Observation",95.2772,3.91,3.97,"Male","X[[i]]"
"30","1_Observation",94.364,17.52,39.43,"Male","X[[i]]"
"31","1_Observation",96.4948,10.74,1.01,"Male","X[[i]]"
"32","1_Observation",121.76,6.65,7.84,"Male","X[[i]]"
"33","1_Observation",119.6292,12.35,11.81,"Female","X[[i]]"
"34","1_Observation",104.4092,4.69,1.32,"Female","X[[i]]"
"35","1_Observation",97.408,33.4,5.92,"Female","X[[i]]"
"36","1_Observation",106.54,5.24,1.37,"Female","X[[i]]"
"37","1_Observation",119.6292,1.18,2.58,"Male","X[[i]]"
"38","1_Observation",110.4972,3.2,5.8,"Female","X[[i]]"
"39","1_Observation",98.3212,8.21,4.15,"Male","X[[i]]"
"40","1_Observation",110.4972,2.34,3.01,"Male","X[[i]]"
"41","1_Observation",99.5388,3.3,2.07,"Female","X[[i]]"
"42","1_Observation",119.6292,4.93,14.53,"Male","X[[i]]"
"43","1_Observation",106.54,3.35,1.59,"Male","X[[i]]"
"44","1_Observation",110.4972,2.45,1.79,"Female","X[[i]]"
"45","1_Observation",105.6268,6.46,5.57,"Female","X[[i]]"
"46","1_Observation",116.5852,3.37,6.92,"Female","X[[i]]"
"47","1_Observation",91.32,33.88,10.43,"Female","X[[i]]"
"48","1_Observation",121.76,1.73,1.61,"Male","X[[i]]"
"49","1_Control",108.6708,12.48,3.38,"Male","X[[i]]"
"50","1_Control",104.4092,24.05,13.22,"Female","X[[i]]"
"51","1_Control",108.6708,32.4,17.9,"Female","X[[i]]"
"52","1_Control",91.32,4.53,9.64,"Female","X[[i]]"
"53","1_Control",106.54,20.14,3.03,"Female","X[[i]]"
"54","1_Control",100.452,1.32,6.3,"Female","X[[i]]"
"55","1_Control",94.364,13.9,28.39,"Male","X[[i]]"
"56","1_Control",92.2332,9.74,3.83,"Male","X[[i]]"
"57","1_Control",95.2772,9.32,8.64,"Female","X[[i]]"
"58","1_Control",100.452,2.36,1.31,"Male","X[[i]]"
"59","1_Control",103.496,6.88,9.21,"Female","X[[i]]"
"60","1_Control",110.4972,2.99,3.82,"Male","X[[i]]"
"61","1_Control",120.8468,32.25,24.87,"Male","X[[i]]"
"62","1_Control",100.452,2.1,2.8,"Male","X[[i]]"
"63","1_Control",118.716,1.33,3.13,"Male","X[[i]]"
"64","1_Control",107.4532,7.5,2.94,"Male","X[[i]]"
"65","1_Control",104.4092,3.78,6.68,"Male","X[[i]]"
"66","1_Control",109.584,4.19,5.16,"Male","X[[i]]"
"67","1_Control",103.496,1.7,2.67,"Female","X[[i]]"
"68","1_Control",104.4092,3.87,6.24,"Female","X[[i]]"
"69","1_Control",108.6708,2.01,0.58,"Female","X[[i]]"
"70","1_Control",100.452,35.46,17.86,"Female","X[[i]]"
