subj,paper,MA_condition,ageday,exp_look,unexp_look,sex
234,gerson2014b,1_Active,105.6268,6.03,9.9,f
235,gerson2014b,1_Active,111.7148,3.11,10.2,m
236,gerson2014b,1_Active,91.32,2.96,2.23,m
237,gerson2014b,1_Active,94.364,4.4,34.12,f
238,gerson2014b,1_Active,120.8468,13.27,3.38,m
239,gerson2014b,1_Active,110.4972,5.98,1.14,f
240,gerson2014b,1_Active,109.584,3.81,31.49,f
241,gerson2014b,1_Active,97.408,11.47,13.73,m
242,gerson2014b,1_Active,93.4508,17.19,16.59,m
243,gerson2014b,1_Active,119.6292,6.87,0.81,f
244,gerson2014b,1_Active,107.4532,13.76,7.9,m
245,gerson2014b,1_Active,107.4532,0.85,1.45,f
246,gerson2014b,1_Active,95.2772,3.98,4.15,m
247,gerson2014b,1_Active,102.5828,4.49,2.4,f
248,gerson2014b,1_Active,107.4532,1.07,2.83,m
249,gerson2014b,1_Active,94.364,5.57,3.44,f
250,gerson2014b,1_Active,121.76,19.64,29.22,m
251,gerson2014b,1_Observation,104.4092,7.87,3.23,f
252,gerson2014b,1_Observation,104.4092,4.39,5.47,m
253,gerson2014b,1_Observation,119.6292,3.18,2.96,m
254,gerson2014b,1_Observation,97.408,4.38,2.9,f
255,gerson2014b,1_Observation,118.716,1.53,3.18,f
256,gerson2014b,1_Observation,105.6268,10.91,9.76,f
257,gerson2014b,1_Observation,125.7172,2.24,1.81,m
258,gerson2014b,1_Observation,104.4092,10.13,10.76,m
259,gerson2014b,1_Observation,115.672,2.46,3.26,m
260,gerson2014b,1_Observation,98.3212,9.82,9.56,m
261,gerson2014b,1_Observation,118.716,0.49,1.32,f
262,gerson2014b,1_Observation,119.6292,7.34,4.82,m
263,gerson2014b,1_Observation,100.452,52.53,17.25,f
264,gerson2014b,1_Observation,97.408,12.24,16.43,f
265,gerson2014b,1_Observation,111.7148,1.73,1.99,m
266,gerson2014b,1_Observation,95.2772,39.79,20.73,m
267,gerson2014b,1_Observation,92.2332,8.8,4.75,f
268,gerson2014b,1_Observation,119.6292,1.47,5.2,m
269,gerson2014b,1_Observation,111.7148,13.64,9.61,f
270,gerson2014b,1_Observation,98.3212,14.99,4.36,f
271,gerson2014b,1_Observation,96.4948,28.26,35.27,m
