Relabeled.Script,Script,Subject.ID,Sex,Age.Month,Age.Day,Age.Decimal,Preferred.Object,PO.Starting.Location,PO.Test.Side,PO.Test.Order,Video.Quality,Device,LT,Type,TrialPair,Trial.N
6a,1,p28,F,3,5,3.166666667,Ball,L,R,1,5,Laptop,5.91,Different_Object,Pair 3,6
7a,6,p32,M,3,23,3.766666667,Bear,L,R,2,5,Laptop,16.18,Different_Object,Pair 3,5
4b,5,p33,M,3,4,3.133333333,Bear,L,R,1,5,Laptop,4.39,Different_Object,Pair 3,6
3a,8,p25,M,4,0,4,Bear,R,L,2,5,Laptop,,Different_Object,Pair 3,5
3b,1,p38,M,3,20,3.666666667,Ball,L,R,1,4,Laptop,8.44,Different_Object,Pair 3,6
2b,8,p30,F,3,24,3.8,Bear,R,L,2,5,Laptop,2.87,Different_Object,Pair 3,5
7c,1,p43,M,3,5,3.166666667,Ball,L,R,1,5,Laptop,6.93,Different_Object,Pair 3,6
5c,7,p44,F,3,30,4,Bear,R,L,1,4,Laptop,8.65,Different_Object,Pair 3,6
6b,7,p39,M,3,8,3.266666667,Bear,R,L,1,5,Laptop,18.02,Different_Object,Pair 3,6
2c,6,p40,F,3,6,3.2,Bear,L,R,2,4.5,Laptop,9.04,Different_Object,Pair 3,5
8b,6,p37,M,3,5,3.166666667,Bear,L,R,2,5,Laptop,6.23,Different_Object,Pair 3,5
6c,3,p46,M,3,18,3.6,Ball,R,L,1,4,Laptop,4.11,Different_Object,Pair 3,6
4a,5,p29,F,3,6,3.2,Bear,L,R,1,5,Laptop,11.69,Different_Object,Pair 3,6
3c,5,p43,M,3,3,3.1,Bear,L,R,1,3.5,Desktop,5.77,Different_Object,Pair 3,6
1b,4,p36,F,3,22,3.733333333,Ball,R,L,2,4,Laptop,6.78,Different_Object,Pair 3,5
